  
390	30	13	27	13	11	10	16	10	15	4	20	2.1
310	15	12	30	14	11	10	16	15	20	4	20	2.5
240	26	13	15	4	11	7	13	15	20	4	15	2.5
480	41	20	42	13	11	10	22	15	15	20	20	2.4
400	27	20	45	14	11	10	22	20	20	20	20	2.8
330	38	20	30	4	11	7	18	20	20	20	15	2.8
670	63	40	60	13	11	10	37	20	15	35	30	3.45
590	49	39	63	14	11	10	37	25	20	35	30	3.9
520	60	40	48	4	11	7	33	25	20	35	25	3.9
395	27	0	10	18	8	0	7	0	0	2	10	0.6
590	45	5	13	24	0	65	10	25	0	35	10	2.15
580	48	7	12	22	0	57	10	25	0	35	8	2.15
590	42	5	11	27	0	67	8	20	0	30	15	2.15
195	0	0	0	18	0	54	0	0	0	0	0	1.65
0	0	0	1	0	0	0	0	0	0	0	0	1.65
200	0	0	2	18	0	54	0	0	0	0	0	1.65
200	0	0	2	18	0	52	0	0	0	0	0	1.65
219	0	0	2	20	0	60	0	0	0	0	0	1.65
179	0	0	0	13	0	38	0	0	8	0	0	1.65
8	0	0	0	13	0	0	0	0	14	1	0	1.65
0	0	0	0	0	0	0	0	0	0	0	0	1.65
5	0	0	0	0	0	0	1	0	0	0	0	1.35
180	9	9	8	6	0	18	12	15	6	45	0	0.99
